tracklet_uid,center_label,magnitude_bin,population,mean_mag_V,vlam,vbeta,P_NEO_new,new_vdp_valid,new_vdp_reason,p_k10,valid_k10,rhoO_k10,reason_k10,p_k30,valid_k30,rhoO_k30,reason_k30
T2:0066051468e54d83bdf96d82a9b9faba,dlon-120_lat+08,V022.50_022.75,Trojans,22.509726586764593,0.15543653559006937,-0.034238373321113055,0.0004974987654314108,True,ok,0.0005147892410406641,True,192900.23487064982,ok,0.0005038907884232121,True,197074.54590002267,ok
T2:96b1c250a7e9b5335256403435a52e9b,dlon-120_lat+08,V022.50_022.75,Trojans,22.65251953822814,0.1532438853392656,-0.007823515242632688,0.0002526415187125505,True,ok,0.0002904832207088602,True,355624.6326867801,ok,0.0002487543062144831,True,415298.54181227315,ok
T2:7fc726b45be43d1494b3d5ba61e5b261,dlon-130_lat+08,V022.75_023.00,Trojans,22.83854577427755,0.1666595317731001,-0.05560703718241311,0.001020624586626798,True,ok,0.0010581689793711078,True,73999.60149864125,ok,0.0010511351141318608,True,74495.30807479523,ok
T2:4dba7b3f4d2169b7d3963140a2430ac3,dlon-130_lat+08,V023.50_023.75,Trojans,23.58401389426293,0.1449753313580694,-0.024296982423681834,0.00017793376395137231,True,ok,0.00018160441204853963,True,695646.0915720463,ok,0.00019753385466743674,True,639537.9004589207,ok
T2:a5af99c31333087268ca6302acc9fdca,dlon-120_lat+08,V023.25_023.50,Trojans,23.308529522733426,0.1564029423136749,-0.0170521528141453,0.0003526008459807204,True,ok,0.00037733958213290197,True,525676.557714087,ok,0.00033410366440997385,True,593729.3517193364,ok
T2:ad07b98376c50664cf623d644e1cba4e,dlon+130_lat+08,V023.75_024.00,Trojans,23.974750392428273,0.15813251770908948,0.026870414319623316,0.0004878891544427233,True,ok,0.00040488421353849493,True,606595.1995675241,ok,0.000521888702105562,True,470544.90983300225,ok
T2:ad0ad8ad3b8e6b44dfce444f221573bb,dlon-120_lat+08,V023.50_023.75,Trojans,23.712031613666383,0.16410572163597234,-0.03255693248604416,0.0002462586041986421,True,ok,0.0002505467999203854,True,902734.7519385804,ok,0.00028669779419165876,True,788876.4032151089,ok
T2:bfb9be16bc0f215a8f76499329bc2f3f,dlon-130_lat+08,V024.00_024.25,Trojans,24.142596408264783,0.14906103634213105,-0.012542222888563773,0.00027329841709887307,True,ok,0.00027612958094451153,True,876724.4027273085,ok,0.00025859676441374334,True,936182.5858944667,ok
T2:f529d9f05651da0f2a0d1a632d7b743e,dlon-130_lat+08,V024.25_024.50,Trojans,24.303469785449426,0.16394671538310956,0.011694324565859364,0.00038872356891722485,True,ok,0.00038654219022826286,True,1058953.545913107,ok,0.0003403143039172731,True,1202856.1481650795,ok
T2:6c5c687eed94584a78b999ad8097b579,dlon+130_lat+08,V024.00_024.25,Trojans,24.043855340290712,0.16725062440172353,-0.006386129186265923,0.0004597273198220777,True,ok,0.00048795815066041067,True,853600.8035819257,ok,0.00043171898160372516,True,964851.9604766329,ok
T2:ef7c510ac643eb13e4c1a22bd62e0f26,dlon-120_lat+08,V024.00_024.25,Trojans,24.02012080056443,0.15242194786026597,-0.0053400385085365515,0.0002840687283614027,True,ok,0.00029477412657844687,True,1387872.3994160325,ok,0.0002770685377697088,True,1476588.1513749373,ok
T2:e8baf7c83b8dd46c37e77d678bcee6d1,dlon-130_lat+08,V023.75_024.00,Trojans,23.863516863979996,0.19528284098236995,-0.021146829945748902,0.0005199265431090526,True,ok,0.0005401539837753076,True,754871.2508884252,ok,0.0005809284032918134,True,701859.4313406551,ok
T2:4c867b9e21e662c47e4130d7bacaaf78,dlon-120_lat+08,V024.25_024.50,Trojans,24.49879247083659,0.15905684663809247,-0.030975919140114355,0.0007149767136301427,True,ok,0.000588805475315922,True,837787.0944341682,ok,0.0007479240180599665,True,659445.4490498507,ok
T2:8c5867b5dec3b1b3e9a8cf778c58ca6c,dlon-130_lat+08,V024.25_024.50,Trojans,24.301607281400766,0.1828300033481874,-0.02488758226885627,0.0008152196596315722,True,ok,0.0009173313309561285,True,621696.7493314362,ok,0.000808225050705921,True,705699.7140447074,ok
T2:e76b32b9da0d40d0ea4bf1bfea7b1e36,dlon+130_lat+08,V023.50_023.75,Trojans,23.702595762094106,0.22385477537646922,0.040043244536162204,0.001207426366811137,True,ok,0.0010820504023381287,True,265362.8983513295,ok,0.001048460810612923,True,273873.55182908365,ok
T2:8eb0641b2cb1d75d62fcfa287a56fe39,dlon-120_lat+08,V024.50_024.75,Trojans,24.62393935359198,0.1449129262620027,-0.019164361773082745,0.0006598486478586527,True,ok,0.000684106606812148,True,814075.4868951796,ok,0.0006400596093335994,True,870136.0906206546,ok
